File,Date,Time,Image quality,Location,DateStart,Classifier,CommentsImages,EventStart,EventEnd,Duration,Species,DirectionTravel,Total,AdultFemale,AdultMale,AdultUnknown,Subadult,YLY,YOY,Folder 
M0028001.JPG,10-Aug-09,3:24 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0028101.JPG,10-Aug-09,3:25 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0028201.JPG,10-Aug-09,3:25 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0028301.JPG,10-Aug-09,3:25 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0028401.JPG,10-Aug-09,3:25 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0028501.JPG,10-Aug-09,3:25 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0028601.JPG,10-Aug-09,3:25 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0028701.JPG,10-Aug-09,3:26 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0028801.JPG,10-Aug-09,3:26 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0028901.JPG,10-Aug-09,3:26 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0029001.JPG,10-Aug-09,3:26 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0029101.JPG,10-Aug-09,3:27 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0029201.JPG,10-Aug-09,3:27 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0029301.JPG,10-Aug-09,3:27 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0029401.JPG,10-Aug-09,3:27 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0029501.JPG,10-Aug-09,3:27 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0029601.JPG,10-Aug-09,3:27 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0029701.JPG,10-Aug-09,3:28 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0029801.JPG,10-Aug-09,3:28 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0029901.JPG,10-Aug-09,3:28 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0030001.JPG,10-Aug-09,3:28 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0030101.JPG,10-Aug-09,3:28 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0030201.JPG,10-Aug-09,3:28 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0030301.JPG,10-Aug-09,3:28 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0030401.JPG,10-Aug-09,3:28 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0030501.JPG,10-Aug-09,3:28 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0030601.JPG,10-Aug-09,3:28 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0030701.JPG,10-Aug-09,3:28 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0030801.JPG,10-Aug-09,3:29 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0030901.JPG,10-Aug-09,3:29 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0031001.JPG,10-Aug-09,3:29 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0031101.JPG,10-Aug-09,3:29 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0031201.JPG,10-Aug-09,3:29 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0031301.JPG,10-Aug-09,3:29 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0031401.JPG,10-Aug-09,3:30 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0031501.JPG,10-Aug-09,3:31 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0031601.JPG,10-Aug-09,3:31 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
