CAMERA_DIS,CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
W61 6000,W61,6000,1131656,113165600,0,34.20999146,34.20999146,2.594880019,2.03255266
W62 6000,W62,6000,1131663,113166300,0,46.90548706,46.90548706,3.85752143,2.569573524
W63 6000,W63,6000,1131682,113168200,0,46.90548706,46.90548706,4.104112638,2.491508985
W64 6000,W64,6000,1131633,113163300,0,38.44963074,38.44963074,3.037395562,2.715914976
W65 6000,W65,6000,1131606,113160600,0,38.44963074,38.44963074,3.66197726,2.216947893
W66 6000,W66,6000,1131548,113154800,0,45.78289795,45.78289795,3.58909325,2.262071199
WB_ E1 6000,WB_ E1,6000,1131792,113179200,0,39.42156982,39.42156982,3.972847096,2.510441325
WB_ E10 6000,WB_ E10,6000,1131572,113157200,0,42.83309937,42.83309937,3.900371326,2.168761715
WB_ E2 6000,WB_ E2,6000,1131633,113163300,0,46.90548706,46.90548706,2.677813745,2.356057944
WB_ E3 6000,WB_ E3,6000,1131225,113122500,0,12.14881897,12.14881897,1.798652536,1.107222801
WB_ E4 6000,WB_ E4,6000,1131716,113171600,0.000183105,15.19360352,15.19342041,2.341409028,1.557699125
WB_ E5 6000,WB_ E5,6000,1131780,113178000,0,39.42156982,39.42156982,3.387974967,2.531567878
WB_ E6 6000,WB_ E6,6000,1131288,113128800,0,12.37916565,12.37916565,1.829350424,1.37654323
WB_ E7 6000,WB_ E7,6000,1131729,113172900,0,44.82791138,44.82791138,2.641519993,2.16383305
WB_ E8 6000,WB_ E8,6000,1131472,113147200,0.007659912,57.87301636,57.86535645,3.53321762,2.132177377
WB_ E9 6000,WB_ E9,6000,1131406,113140600,0,58.89157104,58.89157104,3.310195647,2.396033628
WB_ H1 6000,WB_ H1,6000,1131194,113119400,0.000518799,45.03009033,45.02957153,2.946978501,1.701634016
WB_ H10 6000,WB_ H10,6000,1131246,113124600,0.010452271,45.03009033,45.01963806,3.813180657,1.850948088
WB_ H2 6000,WB_ H2,6000,1131754,113175400,0.001861572,20.12802124,20.12615967,2.988629167,1.767309042
WB_ H3 6000,WB_ H3,6000,1131612,113161200,0,34.20999146,34.20999146,3.56125489,2.112813626
WB_ H4 6000,WB_ H4,6000,1131315,113131500,0,41.46655273,41.46655273,3.11760517,1.837606196
WB_ H5 6000,WB_ H5,6000,1131417,113141700,0,57.87301636,57.87301636,3.441173037,1.979397813
WB_ H6 6000,WB_ H6,6000,607482,60748200,0,33.93460083,33.93460083,2.072221704,1.603328742
WB_ H7 6000,WB_ H7,6000,494209,49420900,6.10352E-05,18.52572632,18.52566528,2.383446515,1.633951338
WB_ H8 6000,WB_ H8,6000,1131385,113138500,0,58.89157104,58.89157104,2.803974113,1.957393725
WB_ H9 6000,WB_ H9,6000,1131753,113175300,0,27.0496521,27.0496521,3.735639403,2.036591917
WB_ S1 6000,WB_ S1,6000,598602,59860200,0,19.40896606,19.40896606,3.250556123,1.861569614
WB_ S10 6000,WB_ S10,6000,1131684,113168400,0,46.90548706,46.90548706,4.088834487,2.419150869
WB_ S11 6000,WB_ S11,6000,1131597,113159700,0,38.44963074,38.44963074,3.029387682,2.177310455
WB_ S12 6000,WB_ S12,6000,1131523,113152300,0,42.83309937,42.83309937,3.819567801,2.098453855
WB_ S13 6000,WB_ S13,6000,1131433,113143300,7.62939E-05,57.87301636,57.87294006,3.274735815,2.07236399
WB_ S14 6000,WB_ S14,6000,1131332,113133200,0,16.25015259,16.25015259,3.074270609,1.522236711
WB_ S15 6000,WB_ S15,6000,1131230,113123000,0.000808716,39.27484131,39.27403259,3.276251082,1.848123021
WB_ S16 6000,WB_ S16,6000,1131771,113177100,0,43.17373657,43.17373657,3.046675956,2.348725105
WB_ S17 6000,WB_ S17,6000,1131674,113167400,0,33.27481079,33.27481079,2.173049691,1.819100231
WB_ S18 6000,WB_ S18,6000,1131597,113159700,0,34.20999146,34.20999146,3.015133211,2.134761021
WB_ S19 6000,WB_ S19,6000,1131531,113153100,0,21.35488892,21.35488892,3.389093288,1.900025886
WB_ S2 6000,WB_ S2,6000,1052660,105266000,0,44.06253052,44.06253052,3.606494377,2.942981429
WB_ S20 6000,WB_ S20,6000,1131442,113144200,0,13.24990845,13.24990845,2.063560446,1.534809155
WB_ S21 6000,WB_ S21,6000,1131328,113132800,0.002212524,12.37916565,12.37695313,2.69504335,1.561197714
WB_ S22 6000,WB_ S22,6000,1131250,113125000,0,12.37916565,12.37916565,1.803565747,1.259937731
WB_ S23 6000,WB_ S23,6000,1013776,101377600,0,80.3848877,80.3848877,2.409608023,1.693647064
WB_ S24 6000,WB_ S24,6000,1131800,113180000,0,27.0496521,27.0496521,3.385947625,2.103197901
WB_ S25 6000,WB_ S25,6000,1131713,113171300,0,18.16313171,18.16313171,2.861258107,1.901911835
WB_ S26 6000,WB_ S26,6000,1131642,113164200,0,14.70742798,14.70742798,2.775819389,1.842581876
WB_ S27 6000,WB_ S27,6000,1131526,113152600,0,14.48652649,14.48652649,2.223960365,1.676446773
WB_ S28 6000,WB_ S28,6000,1131901,113190100,0,22.07466125,22.07466125,1.68619186,1.465552946
WB_ S29 6000,WB_ S29,6000,1131817,113181700,0,26.20523071,26.20523071,2.147512166,1.673550447
WB_ S3 6000,WB_ S3,6000,1131589,113158900,0,28.48562622,28.48562622,2.696100155,2.135458314
WB_ S4 6000,WB_ S4,6000,1131514,113151400,0,114.6127777,114.6127777,3.040184325,2.285692459
WB_ S5 6000,WB_ S5,6000,1131434,113143400,0,58.89157104,58.89157104,3.105960294,2.248338399
WB_ S6 6000,WB_ S6,6000,1131345,113134500,0,41.46655273,41.46655273,2.98730515,1.973392956
WB_ S7 6000,WB_ S7,6000,1131234,113123400,0,55.77877808,55.77877808,3.265665599,1.606124921
