"site","Easting","Northing","start_date","end_date"
"WW-W1",304994.1235,5968422.07,2006-12-12 12:02:00,2007-03-26 08:50:00
"WW-W10",336191.7286,5974254.43,2006-12-13 15:13:00,2007-03-26 14:00:00
"WW-W11",317633.6329,5961620.981,2006-12-16 18:27:00,2007-03-26 11:48:00
"WW-W12",320209.226,5959172.189,2006-12-14 18:09:00,2007-03-26 18:20:00
"WW-W13",324638.9146,5963648.579,2006-12-16 22:36:00,2007-03-26 13:11:00
"WW-W14",329719.2464,5964591.147,2006-12-16 10:27:00,2007-03-26 12:32:00
"WW-W15",334346.2849,5963824.551,2006-12-13 16:21:00,2007-03-27 11:56:00
"WW-W16",308541.8588,5939983.236,2006-12-14 15:25:00,2007-03-28 08:03:00
"WW-W17",314155.2511,5939378.599,2006-12-13 18:33:00,2007-03-28 08:22:00
"WW-W18",318859.0305,5938082.714,2006-12-13 11:21:00,2007-03-28 08:27:00
"WW-W19",320087.1252,5931992.314,2006-12-13 23:19:00,2007-03-28 08:55:00
"WW-W2",309601.2337,5966266.735,2006-12-12 12:53:00,2007-03-26 08:55:00
"WW-W20",323096.2687,5936845.9,2006-12-14 00:55:00,2007-03-27 08:31:00
"WW-W21",320093.277,5941281.021,2007-01-17 17:00:00,2007-03-28 11:12:00
"WW-W22",327178.7422,5933233.178,2006-12-14 23:08:00,2007-02-15 22:09:00
"WW-W23",327717.904,5938868.723,2006-12-13 13:25:00,2007-03-27 08:22:00
"WW-W24",325779.8923,5945714.723,2006-12-13 13:55:00,2007-03-27 10:02:00
"WW-W25",330278.1731,5944368.587,2006-12-15 01:39:00,2007-03-27 10:21:00
"WW-W26",335524.0508,5938006.266,2006-12-18 23:24:00,2007-03-27 09:42:00
"WW-W27",334243.113,5943836.309,2006-12-14 10:43:00,2007-03-27 10:29:00
"WW-W28",334569.4831,5948986.406,2006-12-15 19:11:00,2007-03-27 11:06:00
"WW-W29",335439.3282,5953344.581,2006-12-08 08:03:00,2007-03-26 11:46:00
"WW-W3",314959.0778,5968177.849,2006-12-12 23:53:00,2007-03-26 10:01:00
"WW-W30",340220.7824,5951219.382,2006-12-15 05:23:00,2007-03-27 11:26:00
"WW-W31",366578.4054,5965010.974,2008-01-10 09:22:00,2008-03-13 09:44:00
"WW-W32",353609.3459,5964328.686,2007-12-13 21:39:00,2008-03-11 10:53:00
"WW-W33",345377.7034,5960581.506,2007-12-20 18:15:00,2008-03-11 12:06:00
