"site","radius","bpsdl","cultivation","disturbedvegetation","harvestareas","industrial_sites","landfill","mine_sites","othervegsurfacesrecreation","pipelines","railways","reservoirs","residential_areas","roads","seismiclines","transmissionlines","verge","wellsites","wind_gen_facilities","dense_conifer","moderate_conifer","open_conifer","mixed","broadleaf","treed_wetland","shrub","herb","open_wetland","barren","water","shadow_or_no_data","snow_or_ice","regeneration","cloud_or_no_data","mean_ndvi_2008","mean_ndvi_2012","mean_tri"
"SW-S24",3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.686299167,16.33724926,4.799843687,2.797793956,0.461949332,8.929922162,2.754458704,10.11746418,0.434243275,51.01353803,0.667207657,0,0,0,0,3711.405797,4033.745572,3.877581308
"SW-S24",5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.677712599,20.49998783,4.845757957,2.513474515,0.487685961,9.689530899,3.101165976,8.460518073,0.29106256,46.07895685,0.542018074,0,0.033337314,0,0,4374.436687,4701.613963,3.600004407
"SW-S24",3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.943433813,17.75887912,5.480267338,3.050670573,0.460800387,9.757633481,3.439267622,9.930727774,0.517444551,46.62294968,0.572448499,0,0,0,0,4044.458283,4377.348247,3.800656053
"SW-S24",4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.024189042,18.56203305,5.43162355,3.155428109,0.563084399,9.478713558,3.411394269,10.01376511,0.45478525,45.75843976,0.503128564,0,0,0,0,4133.877137,4475.569444,3.760184141
"SW-S24",4250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.188511555,19.37614918,5.191412411,3.010963992,0.557147743,9.179208699,3.364555124,9.734523879,0.402854754,45.82052714,0.469679945,0,2.07366e-05,0,0,4225.741966,4570.912098,3.713743292
"SW-S24",1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.042250071,2.993769239,0.704046595,0,11.05875869,1.542035152,13.8570202,0,64.71338453,1.088619811,0,0,0,0,2091.568966,2241.758621,4.960938996
"SW-S24",4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.698965313,20.34557168,4.798700368,2.628250869,0.528106424,9.577551865,3.007406596,8.730844306,0.322506992,45.95776954,0.600574043,0,0.022854826,0,0,4320.998486,4642.58592,3.637816635
"SW-S24",4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.482169412,19.95249038,4.911465403,2.786715202,0.533345898,9.193256083,3.190063263,9.090929129,0.359336494,46.1132536,0.632463945,0,0.023040489,0,0,4274.079392,4606.032939,3.662855267
"SW-S24",3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87080779,17.34916373,5.37030571,2.862322134,0.448605069,9.294288438,3.015644664,9.84889333,0.555038757,48.79879666,0.586108434,0,0,0,0,3876.687675,4182.340336,3.840023298
"SW-S25",1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168878357003772,0,0,0,0,11.42888002,74.43131058,3.390883277,0.149670608,0,10.2250269,0,0,0.374176519,0,0,0,0,0,0,7883.342697,7596.230337,1.1564041
"SW-S25",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152639928610262,0,0,0,0,12.01844733,74.88500144,3.216102347,0.249638699,0,9.241948261,0.020807153,0.060590321,0.307420572,0,0,0,0,0,0,7868.429787,7581.297872,1.37414965
"SW-S25",4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067737258513883,0,0,0,0,24.71316397,50.09108815,2.683816481,2.770420259,0.602800994,5.693384216,2.03708955,3.763250477,0.779563248,6.77147316,0.093930022,0,0,0,0,7372.939189,7342.186655,2.535160708
